id;latitude;longitude;street_address;postal_code
83c6f07c-8cab-43a8-9025-6c92c5830c48;37489;89858;Uruguayo Liaison Forward;82047
845aec65-b4cc-44e6-923c-ff21184d40e9;13244;20551;Steel COM;22612
38abdd0d-1cbe-4c0d-bc88-f91400dde6c3;31858;43645;Cambridgeshire;58226
4405d295-f808-4064-9aef-2cf5c7a885a1;77231;71093;Missouri JBOD;50726
db90d008-7dc5-40c7-a2ec-0cc7d088fb62;18552;20069;full-range;75688
b1d38a6c-bd5c-42aa-88a9-51dd9479175f;52844;46283;Automotive;45828
a555a75d-8ff5-45a4-9d46-5d0fd591fc79;39876;23324;Keyboard;48329
87daaaa7-3a82-430b-aeb7-5ef3327389df;43140;4409;program;11821
3e824ead-da67-4b67-8481-146d3cb1878c;61106;59111;Ball Intelligent;96621
3ed4f8d6-ab47-405f-9fa8-fc0349962c76;36973;63985;Granite;38631
